,ensembl_gene_id,ensembl_transcript_id,hgnc_symbol
145492,ENSG00000000419,ENST00000466152,DPM1
3649,ENSG00000000457,ENST00000367771,SCYL3
3330,ENSG00000000460,ENST00000498289,C1orf112
11106,ENSG00000000938,ENST00000374005,FGR
20445,ENSG00000000971,ENST00000359637,CFH
39637,ENSG00000001036,ENST00000002165,FUCA2
55085,ENSG00000001084,ENST00000509541,GCLC
49169,ENSG00000001167,ENST00000341376,NFYA
9335,ENSG00000001460,ENST00000337248,STPG1
9351,ENSG00000001461,ENST00000374399,NIPAL3
76972,ENSG00000001497,ENST00000677056,LAS1L
37408,ENSG00000001561,ENST00000321037,ENPP4
2384,ENSG00000001617,ENST00000414301,SEMA3F
56821,ENSG00000001626,ENST00000673785,CFTR
40974,ENSG00000001629,ENST00000265742,ANKIB1
52927,ENSG00000001630,ENST00000691309,CYP51A1
52932,ENSG00000001631,ENST00000688180,KRIT1
81774,ENSG00000002016,ENST00000358495,RAD52
82439,ENSG00000002330,ENST00000394532,BAD
54275,ENSG00000002549,ENST00000226299,LAP3
41033,ENSG00000002586,ENST00000611428,CD99
37363,ENSG00000002587,ENST00000002596,HS3ST1
46844,ENSG00000002726,ENST00000493429,AOC1
44012,ENSG00000002745,ENST00000361301,WNT16
50742,ENSG00000002822,ENST00000481633,MAD1L1
144689,ENSG00000002834,ENST00000318008,LASP1
152635,ENSG00000002919,ENST00000581298,SNX11
45787,ENSG00000002933,ENST00000484928,TMEM176A
80262,ENSG00000003056,ENST00000000412,M6PR
82328,ENSG00000003096,ENST00000371882,KLHL13
10999,ENSG00000003137,ENST00000001146,CYP26B1
38656,ENSG00000003147,ENST00000402384,ICA1
117393,ENSG00000003249,ENST00000568662,DBNDD1
10211,ENSG00000003393,ENST00000264276,ALS2
17147,ENSG00000003400,ENST00000374650,CASP10
13829,ENSG00000003402,ENST00000443227,CFLAR
3229,ENSG00000003436,ENST00000392365,TFPI
4388,ENSG00000003509,ENST00000455230,NDUFAF7
13859,ENSG00000003756,ENST00000469838,RBM5
70161,ENSG00000003987,ENST00000180173,MTMR7
75037,ENSG00000003989,ENST00000494857,SLC7A2
42570,ENSG00000004059,ENST00000000233,ARF5
152973,ENSG00000004139,ENST00000379061,SARM1
149033,ENSG00000004142,ENST00000540200,POLDIP2
11683,ENSG00000004399,ENST00000501038,PLXND1
19863,ENSG00000004455,ENST00000373449,AK2
43407,ENSG00000004468,ENST00000502843,CD38
90725,ENSG00000004478,ENST00000001008,FKBP4
15304,ENSG00000004487,ENST00000688680,KDM1A
13784,ENSG00000004534,ENST00000442092,RBM6
105865,ENSG00000004660,ENST00000381769,CAMKK1
123128,ENSG00000004700,ENST00000444129,RECQL
40805,ENSG00000004766,ENST00000251739,VPS50
152400,ENSG00000004776,ENST00000004982,HSPB6
157858,ENSG00000004777,ENST00000589133,ARHGAP33
116227,ENSG00000004779,ENST00000562133,NDUFAB1
55819,ENSG00000004799,ENST00000005178,PDK4
1701,ENSG00000004838,ENST00000490675,ZMYND10
52380,ENSG00000004846,ENST00000404938,ABCB5
73643,ENSG00000004848,ENST00000379044,ARX
45175,ENSG00000004864,ENST00000265631,SLC25A13
49900,ENSG00000004866,ENST00000393446,ST7
160319,ENSG00000004897,ENST00000066544,CDC27
156400,ENSG00000004939,ENST00000399246,SLC4A1
36010,ENSG00000004961,ENST00000321143,HCCS
121935,ENSG00000004975,ENST00000005340,DVL2
119807,ENSG00000005001,ENST00000571228,PRSS22
154189,ENSG00000005007,ENST00000262803,UPF1
40165,ENSG00000005020,ENST00000345317,SKAP2
80603,ENSG00000005022,ENST00000475354,SLC25A5
39573,ENSG00000005059,ENST00000394650,MCUB
55912,ENSG00000005075,ENST00000292614,POLR2J
126637,ENSG00000005100,ENST00000225296,DHX33
143472,ENSG00000005156,ENST00000378526,LIG3
108612,ENSG00000005175,ENST00000005386,RPAP3
121096,ENSG00000005187,ENST00000568235,ACSM3
121155,ENSG00000005189,ENST00000568894,REXO5
111702,ENSG00000005194,ENST00000394391,CIAPIN1
153484,ENSG00000005206,ENST00000585725,SPPL2B
76791,ENSG00000005238,ENST00000378566,FAM214B
145971,ENSG00000005243,ENST00000580409,COPZ2
43522,ENSG00000005249,ENST00000265717,PRKAR2B
36709,ENSG00000005302,ENST00000361672,MSL3
109576,ENSG00000005339,ENST00000262367,CREBBP
160830,ENSG00000005379,ENST00000581692,TSPOAP1
160823,ENSG00000005381,ENST00000225275,MPO
1456,ENSG00000005436,ENST00000470285,GCFC2
4473,ENSG00000005448,ENST00000461531,WDR54
48502,ENSG00000005469,ENST00000331536,CROT
48535,ENSG00000005471,ENST00000649586,ABCB4
57201,ENSG00000005483,ENST00000653259,KMT2E
53471,ENSG00000005486,ENST00000466232,RHBDD2
122846,ENSG00000005513,ENST00000293894,SOX8
37072,ENSG00000005700,ENST00000306270,IBTK
75890,ENSG00000005801,ENST00000528796,ZNF195
107080,ENSG00000005810,ENST00000695078,MYCBP2
106367,ENSG00000005812,ENST00000485797,FBXL3
118608,ENSG00000005844,ENST00000678203,ITGAL
156166,ENSG00000005882,ENST00000007708,PDK2
146125,ENSG00000005884,ENST00000506401,ITGA3
73888,ENSG00000005889,ENST00000497813,ZFX
74423,ENSG00000005893,ENST00000200639,LAMP2
156511,ENSG00000005961,ENST00000648408,ITGA2B
110748,ENSG00000006007,ENST00000353258,GDE1
156363,ENSG00000006015,ENST00000598375,REX1BD
156357,ENSG00000006016,ENST00000594325,CRLF1
153539,ENSG00000006025,ENST00000007414,OSBPL7
143844,ENSG00000006042,ENST00000394642,TMEM98
121979,ENSG00000006047,ENST00000571834,YBX2
154821,ENSG00000006062,ENST00000344686,MAP3K14
87762,ENSG00000006071,ENST00000644772,ABCC8
84202,ENSG00000006118,ENST00000453848,TMEM132A
143033,ENSG00000006125,ENST00000589774,AP2B1
40623,ENSG00000006128,ENST00000319273,TAC1
112728,ENSG00000006194,ENST00000538765,ZNF263
112097,ENSG00000006210,ENST00000006053,CX3CL1
161287,ENSG00000006282,ENST00000504334,SPATA20
161344,ENSG00000006283,ENST00000360761,CACNA1G
114416,ENSG00000006327,ENST00000573001,TNFRSF12A
112066,ENSG00000006432,ENST00000554752,MAP3K9
45722,ENSG00000006451,ENST00000468201,RALA
42621,ENSG00000006453,ENST00000005260,BAIAP2L1
44280,ENSG00000006459,ENST00000397560,KDM7A
38952,ENSG00000006468,ENST00000430479,ETV1
44100,ENSG00000006530,ENST00000473247,AGK
90940,ENSG00000006534,ENST00000614849,ALDH3B1
1321,ENSG00000006555,ENST00000371276,TTC22
56103,ENSG00000006576,ENST00000422959,PHTF2
53459,ENSG00000006606,ENST00000394905,CCL26
3773,ENSG00000006607,ENST00000264042,FARP2
45596,ENSG00000006625,ENST00000275428,GGCT
51639,ENSG00000006634,ENST00000413643,DBF4
155340,ENSG00000006638,ENST00000375190,TBXA2R
45280,ENSG00000006652,ENST00000675578,IFRD1
113408,ENSG00000006695,ENST00000670279,COX10
53315,ENSG00000006704,ENST00000265755,GTF2IRD1
149164,ENSG00000006712,ENST00000221265,PAF1
40937,ENSG00000006715,ENST00000310301,VPS41
123475,ENSG00000006740,ENST00000379672,ARHGAP44
113307,ENSG00000006744,ENST00000338034,ELAC2
38868,ENSG00000006747,ENST00000341757,SCIN
