,1921.stim,2921..stim,966.stim,921.unstim,921..unstim,6966.unstim
ENSG00000227232,6.976937352,7.229427178,7.464364704,7.279174508,7.481751774,7.983944723
ENSG00000278267,6.253970968,6.248855168,6.747660324,6.367314084,6.512108865,7.013284027
ENSG00000238009,6.395906702,6.248855168,5.889425093,6.47063773,6.190960507,5.684002536
ENSG00000268903,5.684002536,5.967778528,6.224787199,5.684002536,6.068066365,6.247764386
ENSG00000269981,5.90063054,5.684002536,6.09381558,5.684002536,5.955976396,6.181888762
ENSG00000241860,5.90063054,5.684002536,6.1850857,5.965133095,5.955976396,6.061164679
ENSG00000279457,7.616115848,8.17615051,8.169119405,8.172524516,8.379870558,8.762238257
ENSG00000228463,5.990074363,5.884823932,6.1850857,5.684002536,5.876459265,6.181888762
ENSG00000237094,6.058513389,6.212790155,6.141806269,6.127464679,6.258007383,6.247764386
ENSG00000225972,11.78081394,10.50677296,6.470497404,11.26307722,10.25953935,6.648622343
ENSG00000225630,9.200668475,8.846320707,9.625005649,9.106935663,8.458863811,9.68655441
ENSG00000237973,10.2597235,10.16260678,10.76269971,10.29817962,9.825163512,11.14822619
ENSG00000229344,6.783863247,6.742434788,6.973103253,6.815726725,6.553389672,7.070329505
ENSG00000248527,13.07690357,12.77826679,13.31508739,13.19963636,12.50174748,13.3945007
ENSG00000198744,6.589028203,6.42775076,6.65176035,6.494239099,6.490586911,6.613438665
ENSG00000228327,7.008371982,7.66190564,7.357237747,7.719175082,7.818941308,7.697566564
ENSG00000237491,6.783863247,7.065877391,6.588566513,6.750116171,6.825527417,6.730710078
ENSG00000230092,6.589028203,6.524755774,6.543505487,6.660760119,6.39735457,6.333626357
ENSG00000177757,6.564302067,6.373645091,6.444439246,6.697601493,6.611488554,6.306399962
ENSG00000228794,10.80003276,10.03090775,10.11779611,10.07754081,9.729970665,9.271473828
ENSG00000225880,6.893841624,6.630803293,6.729296722,6.494239099,6.764940439,6.631216698
ENSG00000230699,6.783863247,7.250958948,5.684002536,7.386453441,7.768583868,5.684002536
ENSG00000187634,5.90063054,6.031277264,6.1850857,5.88294886,6.225570687,5.951075045
ENSG00000188976,14.17688877,13.45309952,13.50715936,12.07175836,12.28019602,11.78537061
ENSG00000187961,8.861952343,9.507359863,8.9974855,9.112095208,9.646333552,9.69738255
ENSG00000187583,9.183347483,10.94346098,9.149765,8.951380825,10.1807192,9.306346911
ENSG00000187642,7.895088061,9.493377,7.907325983,7.630627916,8.594081877,7.779897193
ENSG00000188290,7.826900175,7.871702827,7.783261763,6.207898878,6.716722661,6.247764386
ENSG00000187608,12.24645469,12.81828074,10.99315333,11.38592691,11.73969966,11.58996621
ENSG00000224969,5.990074363,5.884823932,6.039207632,5.88294886,5.955976396,6.648622343
ENSG00000188157,12.35854219,12.98611457,12.54682546,10.16768602,11.24779181,11.00043792
ENSG00000217801,10.0555974,9.349899578,10.58661905,8.017265392,7.755682037,8.719927717
ENSG00000273443,8.035060855,7.805482473,7.996322445,6.697601493,6.512108865,6.538124066
ENSG00000237330,6.058513389,5.684002536,6.328775079,5.684002536,5.684002536,5.684002536
ENSG00000131591,10.31478485,10.04600007,10.23012539,9.29543888,9.424610147,9.209937396
ENSG00000162571,6.702601238,6.501690324,6.29618768,6.028044969,6.258007383,5.951075045
ENSG00000186891,15.61672583,15.02294512,15.44092162,12.16577428,12.46621025,11.9771668
ENSG00000186827,16.17296752,15.91730788,15.73484295,10.81946452,12.12340059,10.89051943
ENSG00000078808,15.44996276,14.88003079,15.04302233,14.16931959,14.0097743,13.99676102
ENSG00000176022,13.63958307,12.56534604,13.18526332,11.63016895,11.30953454,11.45615339
ENSG00000184163,7.097417641,6.959946634,6.783310397,6.697601493,6.648035044,6.333626357
ENSG00000260179,5.990074363,6.131617921,6.039207632,6.080957172,6.225570687,6.181888762
ENSG00000160087,12.94033025,12.5562922,12.45751431,12.20220908,12.09648338,11.82456008
ENSG00000230415,5.90063054,5.684002536,5.97426954,6.080957172,5.876459265,6.061164679
ENSG00000162572,6.456536923,6.669639609,6.566358688,6.815726725,6.882481134,7.235072749
ENSG00000131584,10.73952875,10.89889129,10.49658459,10.53016449,10.859426,10.77588783
ENSG00000169972,10.43601581,10.04326778,9.97207266,9.639647162,9.722137637,9.277690321
ENSG00000127054,12.89793285,12.56249307,12.61156148,12.48129574,12.45259583,12.26511824
ENSG00000240731,6.723616076,7.11513236,7.169694823,6.799753109,7.221593391,7.047877537
ENSG00000224051,10.74050926,10.40838902,10.47661183,11.80738601,11.34046199,11.65347627
ENSG00000169962,6.564302067,6.688413461,6.566358688,6.962464962,7.138185896,7.47647053
ENSG00000107404,12.15719261,11.58557253,11.97357599,11.0165802,10.85157208,11.19575309
ENSG00000162576,7.826900175,7.852187155,7.8536359,7.761248167,7.85546885,7.767568808
ENSG00000175756,12.85493021,12.31517948,12.22367129,12.38896083,12.40390719,11.72376053
ENSG00000221978,11.26534929,11.59491241,11.52557092,11.06356799,11.48124871,11.5411766
ENSG00000224870,11.21617334,10.83644778,10.85674928,10.77497194,10.79461719,10.71799135
ENSG00000242485,12.84812922,12.33982707,12.23152412,11.69126597,11.77559179,11.34830154
ENSG00000272455,7.834654733,7.669480445,7.367382609,7.289343419,7.513583969,7.19611196
ENSG00000235098,6.893841624,6.706789986,5.684002536,7.299424067,7.270765703,5.684002536
ENSG00000225905,6.363389184,6.212790155,5.684002536,6.169412848,6.317676649,5.684002536
ENSG00000179403,6.960853961,7.053203711,6.882792392,6.799753109,7.559841695,7.697566564
ENSG00000215915,6.166599461,6.084680694,6.29618768,5.88294886,5.955976396,6.215893106
ENSG00000160072,12.201625,11.56528455,11.95889181,9.302212789,10.00878592,9.454416179
ENSG00000197785,12.77208093,12.06132036,12.32902298,10.42605882,10.81679023,10.15408565
ENSG00000205090,6.212174677,6.54713893,6.261649895,6.560863378,6.764940439,7.024941639
ENSG00000160075,13.34574173,12.81788206,12.73137031,13.19422029,12.87273487,12.78967615
ENSG00000215014,6.803098542,6.759740468,6.800631988,6.420943357,6.733084126,6.576674769
ENSG00000228594,10.83165956,10.14742578,10.12727474,12.28578857,10.93839515,12.08114409
ENSG00000272106,8.929566625,8.322189837,8.632480642,8.999590361,8.130872403,9.049393537
ENSG00000197530,9.705234867,9.851926576,10.09727166,10.68850892,10.39156144,11.16498392
ENSG00000189409,5.684002536,5.684002536,6.224787199,5.88294886,5.684002536,6.215893106
ENSG00000248333,12.27276632,12.15363265,11.95775604,11.9768035,12.11835456,11.54203194
ENSG00000272004,6.292768387,6.031277264,5.97426954,6.243638289,5.876459265,6.105385029
ENSG00000189339,11.4847407,11.87533591,11.32403678,13.03384246,12.68595455,12.84251923
ENSG00000269737,7.280808201,7.714006087,7.108056957,8.110437882,8.202158372,7.868806353
ENSG00000215914,6.116049387,5.884823932,5.889425093,6.080957172,6.225570687,5.684002536
ENSG00000008128,9.737112515,9.797791879,9.964534469,9.574148348,9.720565877,9.867207984
ENSG00000268575,6.976937352,7.323304791,7.029164777,8.274770044,7.948172854,8.156142167
ENSG00000227775,7.787417984,8.255980109,9.026948849,9.048905196,8.994222049,10.39500048
ENSG00000215790,7.256358691,7.491261269,7.716476488,8.255877763,8.125983609,8.909096449
ENSG00000008130,12.85560854,12.16151041,12.64557777,12.2061015,12.29920668,12.08613661
ENSG00000078369,15.604638,15.14118713,15.2229155,15.3364221,15.05291891,14.83365788
ENSG00000231050,6.116049387,5.884823932,6.519953428,5.88294886,6.016855862,6.384711672
ENSG00000178821,7.652269891,6.212790155,7.37744155,6.243638289,6.225570687,6.181888762
ENSG00000067606,6.42689428,6.314537953,8.455716192,6.948726543,6.764940439,9.527405698
ENSG00000182873,6.564302067,6.501690324,6.417368493,6.783502176,6.923122811,7.059162446
ENSG00000162585,11.57375077,11.07145971,10.97903454,11.98414606,11.47243392,11.43466624
ENSG00000157933,13.03280031,12.61254301,12.76940867,13.82936952,13.22046179,13.41121096
ENSG00000116151,7.687419832,7.878143939,7.783261763,7.726283697,8.197520944,7.897146648
ENSG00000269896,6.253970968,6.524755774,5.97426954,6.539296354,6.854423589,6.538124066
ENSG00000272420,5.684002536,6.031277264,5.684002536,5.684002536,5.876459265,6.215893106
ENSG00000157916,12.75932936,12.49177236,12.54380127,12.49408683,12.64773701,12.25393988
ENSG00000157911,10.47661411,10.20232243,10.48610717,9.49766915,9.545111518,9.655157727
ENSG00000149527,7.292841883,7.615478856,7.84676719,9.018973132,9.140864352,10.09692051
ENSG00000224387,5.684002536,5.967778528,6.09381558,5.965133095,6.190960507,6.408808821
ENSG00000229393,6.058513389,5.884823932,5.684002536,6.080957172,5.955976396,6.613438665
ENSG00000157881,11.01540055,11.20129544,10.81384582,11.53194599,11.38317028,11.50522491
ENSG00000272449,9.311043716,7.922368337,8.740171859,9.317894358,8.002973448,9.367820483
ENSG00000238164,9.783636974,11.2339503,9.809862002,11.1007291,11.80987592,11.00602983
ENSG00000157873,12.66366993,12.7933517,12.83313774,13.02928703,12.78480298,13.35745523
ENSG00000225931,6.116049387,6.373645091,6.224787199,6.394675016,6.592587141,6.247764386
ENSG00000228037,6.702601238,6.959946634,7.228105426,7.183355729,6.987415522,7.623498462
ENSG00000157870,10.30553215,10.18632009,10.13669124,11.84282222,11.11337034,11.74099531
