HGNC_symbol,1921.stim,2921..stim,966.stim,921.unstim,921..unstim,6966.unstim
A1BG,6.538771651,6.590060898,6.417368493,6.906355321,6.936310697,6.95295225
A1BG-AS1,7.754941906,7.669480445,7.776009808,7.988578175,8.10126996,8.42740974
A2M,6.395906702,11.62667836,6.495641101,6.602302164,12.35250671,6.834332061
A2M-AS1,6.058513389,6.401249615,6.141806269,6.028044969,6.512108865,6.277846683
A2MP1,5.90063054,6.344798264,6.1850857,6.207898878,6.936310697,6.538124066
A4GALT,6.456536923,7.218506969,6.417368493,5.88294886,6.371894938,6.247764386
AAAS,11.43778435,11.55431452,10.89920129,11.47202085,11.74702685,10.96003473
AACS,11.71154846,11.71798156,11.02821756,12.09066956,12.10220788,11.20550529
AAGAB,12.13947492,12.02999172,12.52322049,11.49668187,11.86372834,11.05000066
AAK1,12.80897268,12.67419041,12.92761656,13.07174742,12.7315679,12.98704775
AAMDC,7.540522081,7.391445123,7.082397185,8.871258386,8.44729928,8.732147346
AAMP,13.30493463,12.57693747,13.05077935,12.17221718,12.26469754,12.18881436
AANAT,6.058513389,6.131617921,6.261649895,6.080957172,6.153695847,6.215893106
AAR2,12.53039016,11.92283119,12.31932859,11.45701919,11.35820125,11.35172072
AARD,6.058513389,6.248855168,6.86691066,6.446232613,6.39735457,7.736222011
AARS1,12.82476307,13.19625244,14.19653346,13.16190646,12.61586934,13.02485386
AARS2,10.35634091,10.67839005,10.52552192,9.96444332,10.60290197,10.33202648
AARSD1,8.69984349,8.394136805,8.703965898,7.535385036,7.722849914,8.08989105
AARSD1P1,5.990074363,6.031277264,5.889425093,5.684002536,6.068066365,5.872985945
AASDH,8.459282386,8.612525052,8.317480759,8.657284102,9.017596677,8.959153518
AASDHPPT,12.18588727,11.55670642,11.94520318,11.30165972,11.15688403,11.25747317
AASS,5.684002536,6.314537953,6.039207632,5.88294886,6.113084811,6.576674769
AATBC,6.456536923,6.590060898,6.566358688,5.965133095,6.39735457,6.359686744
AATF,13.23140518,12.81068688,13.00331903,11.98658529,12.28232073,12.09373897
